Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1780284962,10,,Aggregated,7.800000,0.000000,4,4,5,5,6,7,10,18,100,100,100,648,0,4,4.844672067896299,3.3980000007431954,104.87210000064806,193.4506172839506
1780284963,10,,Aggregated,7.800000,0.000000,4,4,5,5,6,7,10,18,100,100,100,653,0,4,4.846186523733128,3.3980000007431954,104.87210000064806,194.48392036753447
1780284964,10,,Aggregated,7.800000,0.000000,4,4,5,5,6,7,10,18,100,100,100,665,0,4,4.841075338341958,3.3980000007431954,104.87210000064806,193.85864661654136
1780284965,10,,Aggregated,7.900000,0.000000,4,4,5,5,6,7,10,18,100,100,100,673,0,4,4.832529271909779,3.3980000007431954,104.87210000064806,194.41753343239228
1780284966,10,,Aggregated,7.900000,0.000000,4,4,5,5,6,7,10,18,100,100,100,680,0,4,4.826287058815925,3.3980000007431954,104.87210000064806,193.96617647058824
1780284967,10,,Aggregated,8.100000,0.000000,4,4,5,5,6,7,10,18,100,100,100,689,0,4,4.834763860656063,3.3980000007431954,104.87210000064806,194.36719883889694
1780284968,10,,Aggregated,8.100000,0.000000,4,4,5,5,6,7,10,18,100,100,100,697,0,4,4.834702152071139,3.3980000007431954,104.87210000064806,195.45911047345768
1780284969,10,,Aggregated,8.200000,0.000000,4,4,5,5,6,7,10,17,100,100,100,706,0,4,4.843678470248468,3.3980000007431954,104.87210000064806,194.72946175637395
1780284970,10,,Aggregated,8.200000,0.000000,4,4,5,5,6,7,10,17,100,100,100,711,0,4,4.846943178614546,3.3980000007431954,104.87210000064806,195.1223628691983
1780284971,10,,Aggregated,8.200000,0.000000,4,4,5,5,6,7,10,17,100,100,100,721,0,4,4.835685436884935,3.3980000007431954,104.87210000064806,196.43134535367545
1780284972,10,,Aggregated,8.400000,0.000000,4,4,5,5,6,7,10,17,100,100,100,728,0,4,4.825917307681056,3.3980000007431954,104.87210000064806,197.05906593406593
1780284973,10,,Aggregated,8.300000,0.000000,4,4,5,5,6,7,10,17,100,100,100,739,0,4,4.815332882259365,3.3980000007431954,104.87210000064806,196.0663058186739
1780284974,10,,Aggregated,8.000000,0.000000,4,4,5,5,6,7,10,17,100,100,100,746,0,4,4.808567828405558,3.3980000007431954,104.87210000064806,196.6823056300268
1780284975,10,,Aggregated,8.000000,0.000000,4,4,5,5,6,7,10,17,100,100,100,754,0,4,4.812608488051791,3.3980000007431954,104.87210000064806,197.15119363395226
1780284976,10,,Aggregated,7.800000,0.000000,4,4,5,5,6,7,10,19,140,140,140,763,0,4,5.058488204438946,3.3980000007431954,138.8451000002533,196.96592398427262
1780284977,10,,Aggregated,8.200000,0.000000,4,4,5,5,6,7,12,19,140,140,140,772,0,4,5.145431606199968,3.3980000007431954,138.8451000002533,196.28108808290156
1780284978,10,,Aggregated,8.200000,0.000000,4,4,5,5,6,7,12,19,140,140,140,779,0,4,5.149505904990523,3.3980000007431954,138.8451000002533,195.87034659820281
1780284979,10,,Aggregated,8.400000,0.000000,4,4,5,5,6,7,12,19,140,140,140,789,0,4,5.149280481605568,3.3980000007431954,138.8451000002533,194.5918884664132
1780284980,10,,Aggregated,7.900000,0.000000,4,4,5,5,6,7,12,19,140,140,140,797,0,4,5.151082559584315,3.3980000007431954,138.8451000002533,194.56838143036387
1780284981,10,,Aggregated,8.200000,0.000000,4,4,5,5,6,7,12,19,140,140,140,803,0,4,5.147601494381107,3.3980000007431954,138.8451000002533,194.79327521793275
1780284982,10,,Aggregated,8.400000,0.000000,4,4,5,5,6,7,12,19,140,140,140,812,0,4,5.1576463054072805,3.3980000007431954,138.8451000002533,195.60344827586206
1780284983,10,,Aggregated,8.300000,0.000000,4,4,5,5,6,7,12,19,140,140,140,822,0,4,5.155374452542209,3.3980000007431954,138.8451000002533,196.27250608272507
1780284984,10,,Aggregated,8.400000,0.000000,4,4,5,5,6,7,12,19,140,140,140,829,0,4,5.158830880565749,3.3980000007431954,138.8451000002533,196.82509047044633
1780284985,10,,Aggregated,8.400000,0.000000,4,4,5,5,6,7,12,19,140,140,140,840,0,4,5.158613333320058,3.3980000007431954,138.8451000002533,196.88095238095238
1780284986,10,,Aggregated,8.200000,0.000000,4,4,5,5,6,7,12,19,140,140,140,850,0,4,5.15225658822387,3.3980000007431954,138.8451000002533,197.05529411764707
1780284987,10,,Aggregated,8.100000,0.000000,4,5,5,5,6,7,11,19,140,140,140,859,0,4,5.147022933634088,3.3980000007431954,138.8451000002533,196.8917345750873
1780284988,10,,Aggregated,8.100000,0.000000,4,5,5,5,6,8,11,19,140,140,140,866,0,4,5.17338325634318,3.3980000007431954,138.8451000002533,196.51732101616628
1780284989,10,,Aggregated,8.500000,0.000000,4,5,5,5,6,8,12,19,140,140,140,876,0,4,5.339204908668596,3.3980000007431954,138.8451000002533,196.24657534246575
1780284990,10,,Aggregated,9.000000,0.000000,4,5,5,5,6,8,12,19,140,140,140,883,0,4,5.336329784813488,3.3980000007431954,138.8451000002533,195.44394110985277
1780284991,10,,Aggregated,8.800000,0.000000,4,5,5,5,6,8,12,19,140,140,140,889,0,4,5.328818560169427,3.3980000007431954,138.8451000002533,196.07874015748033
1780284992,10,,Aggregated,8.400000,0.000000,4,5,5,5,6,8,12,19,140,140,140,900,0,4,5.326233999991625,3.3980000007431954,138.8451000002533,197.00444444444443
1780284993,10,,Aggregated,8.400000,0.000000,4,5,5,5,6,8,12,19,140,140,140,903,0,4,5.324334772973524,3.3980000007431954,138.8451000002533,197.09634551495017
1780284994,10,,Aggregated,8.500000,0.000000,4,5,5,5,6,8,12,19,140,140,140,914,0,4,5.31699387308159,3.3980000007431954,138.8451000002533,197.57002188183807
1780284995,10,,Aggregated,8.400000,0.000000,4,5,5,5,6,8,12,19,140,140,140,924,0,4,5.314675000000215,3.3980000007431954,138.8451000002533,197.7229437229437
